ID,xCoord,yCoord
0086,2330,2591
1326,2980,2974
1039,2800,3408
1684,2846,2330
1970,2846,2330
0872,2846,2330
0367,2846,2241
1809,2800,3408
0442,2372,3000
1716,2846,2330
0956,2846,2330
0424,2800,3408
1482,2846,2330
1115,2846,2330
0030,2330,2846
0560,2846,2330
0398,2846,2330
0777,2217,2801
1927,2330,2846
1004,2846,2166
0422,2372,2650
0099,3408,2800
0322,3304,2800
1499,2846,2330
0816,2846,2330
1797,3408,2800
1537,3384,2800
1711,2330,2846
1262,2846,2330
0340,2979,2825
0375,3384,2535
1760,2987,3001
1128,3408,2800
0540,2846,2330
0864,2846,2330
0210,2846,1961
0335,2330,2682
1867,2330,2846
1102,2846,2330
1453,2372,2330
1926,2979,2642
0169,2846,2330
1804,2846,2330
1629,3408,2800
0143,2800,3408
1106,2800,3408
0476,2746,2330
0495,2846,2330
1391,2330,2846
1725,3408,2800
0295,3408,2800
0418,2633,1671
0126,2330,2846
1284,2846,2330
0408,2846,2330
0617,3408,2800
1607,3408,2800
1035,2949,2976
0406,2846,2330
0993,2846,2330
1265,2685,2993
0655,2846,2330
0525,2846,2330
1463,2846,2330
0382,2800,3408
1073,2846,2202
1639,2685,2233
1738,3047,2800
1627,2330,2846
1680,1846,2582
1394,2979,2503
1569,2996,2935
0511,3408,2695
0852,2846,2041
1685,3287,2800
0061,2330,2731
0130,2846,2330
0812,3408,2800
1232,2846,2330
1438,2846,2330
0341,3408,2800
0257,3408,2800
0508,2330,2655
1768,2846,2330
1342,2330,2846
1773,3408,2800
1162,2273,3408
0269,3263,2720
0654,3408,2800
1710,2846,2330
0731,2971,2352
0962,2846,2202
1210,2846,2330
1467,3408,2800
0325,1947,2846
1877,2846,2330
1477,2846,2330
1460,3408,2800
1698,2846,2330
1842,2669,2245
0607,2846,2330
0849,2846,2330
0428,2800,3408
0807,2846,2330
1481,2372,3000
1961,3408,2800
1529,2586,2330
0439,2846,2330
1802,3223,2800
0640,2153,2703
1588,2846,2184
1442,2330,2320
1697,3408,2800
1224,2790,2075
1048,2846,2330
1389,2507,2330
1180,3408,2800
0032,2846,2330
0964,2846,2330
1662,2846,2012
1383,3384,2800
1916,2092,2082
1661,2596,2330
0208,2846,2330
1821,2330,2846
0667,2846,2154
0709,3408,2800
0376,2975,2800
0482,2846,2330
1666,3408,2800
0954,2681,2800
0891,2133,2962
1213,2846,2330
1452,2374,2330
1184,3408,2800
1979,2846,2330
0677,3408,2800
0935,2800,3408
1726,2845,2800
1857,2846,2330
0825,3408,2800
0874,2693,2330
0114,2846,2330
1308,2330,2846
1074,2846,2330
0237,3408,2800
0021,2846,2330
1304,2846,2330
0641,2846,2330
0992,2846,2330
1532,2846,2330
1712,2846,2330
1075,4280,3520
1064,2846,2330
1850,3408,2800
1830,2632,2800
1840,2372,3000
0160,2846,2330
1047,3000,2372
0258,2093,2330
1974,3328,2800
1930,2874,2800
0658,3159,2574
1884,2330,2846
0747,2846,2323
0820,1926,2846
0809,2846,2330
1851,2846,2330
1969,2979,2520
1270,3000,2372
0785,2383,2330
1065,2365,2330
0973,2846,2330
0715,2846,2330
0089,2330,2846
1183,3001,3001
1042,3408,2800
1944,3408,2800
0009,2846,2330
1608,2846,2330
1565,3408,2800
1913,2846,2330
0231,2330,2846
1118,1551,2878
0996,2846,2330
0053,2846,2330
0528,2846,2330
1493,3408,2800
0574,2846,2330
1002,2330,2574
0151,2846,2330
0886,2641,2800
1003,2330,2293
1040,2330,2846
0136,3408,2800
1502,2330,2637
0279,2432,2162
0404,2800,3408
0212,2801,2225
0635,2846,2330
0803,2330,2846
2001,2330,2389
1392,2689,3303
1188,2846,2330
1912,3384,2800
1575,2352,3000
0427,2330,2846
0752,2330,2846
0902,2846,2330
0144,3408,2800
1862,3408,2800
1777,2846,2330
1328,2846,2330
2000,2987,2534
0674,2846,2330
0117,2846,2330
0589,2846,2330
0710,3408,2800
1234,2846,2330
1433,2846,2330
0196,2846,2330
1756,2800,3408
1057,3408,2800
1736,2372,3000
0724,3408,2800
1171,2212,2550
0369,2800,3408
0620,2846,2330
1253,2984,2988
0192,3408,2800
1382,2846,2330
1829,3408,2800
0133,3408,2800
1375,2500,2048
0505,2846,2330
0835,2800,3408
1219,2846,2330
0912,2846,2330
1663,2800,3408
0096,2500,2048
1207,2330,2707
1041,3408,2800
1868,2488,2800
1032,4280,3520
1902,2846,2330
1371,2846,2330
1133,2639,3183
0202,2330,2846
0207,2846,2330
0148,2778,2218
1397,2590,2099
0011,2330,2846
2002,3264,2387
1103,3015,2800
1357,2199,3009
0725,2330,2288
1572,3408,2800
0638,3000,2372
1678,2846,2330
0320,3001,2991
1424,2846,2330
0987,2330,2846
0900,2846,2330
0758,2846,2330
0228,2048,2500
1127,2846,2330
1800,3408,2800
1484,2504,2482
1427,3408,2800
0941,2800,3408
1012,2846,2330
0584,3408,2800
1214,2846,2330
0739,3408,2800
0625,2846,2330
0090,2330,2846
0334,2800,3408
1364,2846,2330
0463,2846,2330
0913,2349,2970
1796,2915,2800
0959,2846,2330
0575,2846,2330
0146,2846,2330
1208,3384,2776
0588,2846,2330
1186,3408,2800
1396,3001,2622
1819,2923,2372
0153,2499,2330
1905,2895,2776
0302,2846,2330
0571,3408,2800
1709,3287,2720
0582,2769,2330
1296,3408,2800
0853,2846,2330
1089,2330,2846
1644,2846,2330
0230,2846,2330
1025,2846,2209
0240,2707,2800
1007,2846,2330
0288,2800,3408
0440,2846,2330
1630,2846,2330
0521,2846,2330
1108,2800,3408
1784,1984,2859
0108,2846,2330
1707,2416,2265
0332,1985,2679
0244,2330,2603
0429,2992,2372
0462,2800,3408
1566,2846,2330
0467,2846,2330
1107,2846,2330
1349,2976,2372
1008,2846,2330
1619,2949,2723
0412,2495,2330
0270,3408,2800
1553,2691,3001
1147,2800,3196
1526,2979,2881
0033,2362,2058
1989,3408,2800
0387,2846,2330
0217,2330,2708
0390,3408,2800
1865,3328,2800
0637,2330,2846
0984,2980,2467
1963,2800,2959
0806,2330,2846
1458,2175,2846
0339,2800,3408
0102,2768,2858
0104,2846,2158
0494,2724,2103
0045,2846,2330
0870,2846,2330
0970,2992,2999
1005,2846,2115
1137,3408,2800
1953,3408,2800
1501,2846,2330
0101,2846,2330
0817,2330,2846
1416,2846,2330
0145,2931,2448
1276,2800,3408
0519,2846,2330
0220,3408,2800
0333,1969,2469
0456,3408,2800
0991,2846,2330
1737,2630,2330
1151,2846,2330
1623,2846,2330
1655,2575,3183
0779,2800,3408
0911,2846,2330
1462,2846,2111
1131,1898,2776
0904,2846,2330
1488,3408,2800
0662,2846,2330
0538,2846,2330
0354,3408,2800
0792,2669,2214
1360,3408,2800
1673,2846,2330
0112,2337,2330
1122,2846,2330
0445,3408,2800
0266,3408,2800
1870,3408,2800
0364,2846,2095
1638,2629,2330
1145,2846,2330
1461,2846,2330
1525,2846,2330
1858,2846,2330
1931,2846,2330
1086,2719,2021
1593,3074,2616
1744,2330,2846
1393,3408,2800
1390,3408,2800
0603,2610,1964
0780,3408,2800
1386,1633,2405
1083,2846,2330
1651,2846,2330
1907,2116,2330
1901,3408,2800
0661,2846,2330
0609,2846,2330
0292,3408,2800
0595,1982,2477
1062,2800,3408
1542,2504,2800
0623,2330,2846
0923,2846,2330
1356,2986,2353
0679,2846,2330
0542,2846,2330
0771,2846,2330
0167,3408,2800
0787,2980,2773
0504,2846,2330
1019,2846,2330
1491,2846,2330
1096,2846,2096
0718,2846,2330
0088,3408,2800
0002,2330,2846
1403,2975,2442
0685,2846,2330
1570,2768,2075
0336,2330,2658
0801,3408,2800
1810,2846,2330
0890,2823,2800
0554,2846,2330
0786,2446,2010
0497,2846,2330
0639,1950,2697
1446,2846,2330
1331,2846,2330
1599,2927,2495
1869,3408,2800
0958,2846,2076
1315,2330,2846
1178,2309,2330
1024,3408,2800
0524,2336,2609
0558,3384,2607
1301,2846,2330
1212,1999,2825
0979,2037,2846
0842,2846,2330
1915,2846,2330
0250,3408,2800
0974,3408,2800
0188,2846,2330
1221,3408,2800
1014,2846,2330
0775,3408,2800
1995,1826,2330
1372,3408,2800
0899,2846,2330
0281,2846,2106
0152,2846,2330
0154,2846,2330
0438,2846,2055
0830,3408,2800
0413,2487,1762
1037,2846,2330
0017,2846,2330
1289,2741,2330
1238,2935,2876
0788,2846,2330
0707,2846,2330
1939,2846,2330
1657,3000,2372
0363,3408,2800
0005,3159,2800
1702,2846,2330
1881,2330,2473
1175a,2975,2510
0221,2372,2690
1092,2947,2369
1388,2330,2253
1168,2846,2330
0076,2846,2206
1839,2846,2330
1739,3408,2800
1235,3408,2800
1573,2362,3000
1259,2846,2330
0651,2330,2846
1141,2846,1869
1034,2590,2218
1585,2846,2330
0020,2846,2330
0255,2330,2215
0552,2992,2959
1765,3304,2800
0822,2800,3408
0008,3408,2800
1971,2800,3055
1783,2574,2245
1704,2800,3039
1545,2350,2963
0019,2846,2330
1449,2846,2330
0243,2976,2800
1878,2800,3408
1676,3408,2800
0716,2846,2330
1362,3408,2800
0951,2846,2330
0831,3408,2800
1136,2846,2330
1767,3192,2768
0678,2846,2330
0697,2709,2174
1672,3408,2800
1175,2776,2330
1811,3408,2800
1060,2800,3408
1900,2846,2330
0529,2846,2330
0657,2846,2330
1020,2846,2330
1792,3408,2800
1879,3408,2800
1399,2846,2330
1834,3408,3320
1181,2846,2330
0368,3408,2776
0097,1411,2350
0741,1990,2520
0860,2846,2330
1369,2800,3384
1185,2846,2055
1814,2330,2846
1983,3408,2570
1793,3408,2800
0399,2846,2330
1285,2846,2330
0377,2903,2508
1660,2267,3033
1741,3093,2800
0347,2988,3001
0546,2846,2330
0708,2846,2145
0338,2223,2637
1653,3408,2800
0832,3408,2800
1124,2846,2330
1359,2800,3408
1984,2846,2330
0063,2846,2330
1807,2846,2330
0946,2965,2520
1817,2846,2330
1766,2980,2324
1539,2817,2330
0022,2800,3408
1028,3408,2800
0967,2989,2511
0214,2846,2330
1415,2846,2330
1117,2846,2330
0694,3263,2800
1691,2846,2330
1472,3368,2220
0342,2330,2846
1787,2846,1932
1068,2992,2779
1620,2800,3263
0680,2846,2330
0953,2979,2729
0585,2979,2995
0238,2846,2330
1770,3408,2800
0294,3304,2800
1311,2800,3199
0072,2846,2330
0125,2330,2846
0748,2372,3000
0403,2800,3408
1803,2484,2150
0963,2846,2330
1033,2846,2330
1554,2846,2330
1287,2846,2330
1160,3408,2800
0673,2846,2330
1179,2846,2330
0360,2846,2330
0850,3000,2372
1896,2330,2264
1962,2330,2846
0893,2981,2979
1026,3408,2800
0142,2278,3000
1006,2980,2950
1485,2846,2330
0643,2140,1760
1000,2324,2689
0118,3408,2800
